
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
30-0004                          Q2                                 6   1      3   3   1 2           2 0 GND                 (43-1-13)
40-0115                          U3                                11   1      1   1   1 4           4 0 XSIG010334          (1023-6-13)
40-0115                          U3                                11   1      2   2   1 8           8 0 VCC5                (1023-33-13)
40-0115                          U3                                11   1      3   3   1 1           1 0 VCC                 (43-2-13)
40-0115                          U3                                11   1      4   4   1 2           2 0 VCC                 (43-2-13)
40-0115                          U3                                11   1      5   5   1 5           5 0 VCC5                (1023-33-13)
40-0115                          U3                                11   2      1   1   2 3           3 0 GND                 (43-1-13)
40-0115                          U3                                11   2      1   1   3 6           6 0 GND                 (43-1-13)
40-0115                          U3                                11   2      1   1   4 7           7 0 GND                 (43-1-13)
40-0237                          U1                                 1   1      1   1   1 44         44 0 GND                 (43-1-13)
40-0237                          U1                                 1   1      2   2   1 20         20 0                     (0-0-0)
40-0237                          U1                                 1   1      3   3   1 40         40 0 LED1_B              (1023-11-13)
40-0237                          U1                                 1   1      4   4   1 37         37 0 SWCLK               (1023-28-13)
40-0237                          U1                                 1   1      5   5   1 38         38 0 LED1_G              (1023-12-13)
40-0237                          U1                                 1   1      6   6   1 39         39 0 LED1_R              (1023-13-13)
40-0237                          U1                                 1   1      7   7   1 34         34 0 SWDIO               (1023-29-13)
40-0237                          U1                                 1   1      8   8   1 5           5 0                     (0-0-0)
40-0237                          U1                                 1   1      9   9   1 6           6 0                     (0-0-0)
40-0237                          U1                                 1   1     10  10   1 10         10 0                     (0-0-0)
40-0237                          U1                                 1   1     11  11   1 11         11 0                     (0-0-0)
40-0237                          U1                                 1   1     12  12   1 12         12 0 UV1                 (1023-21-13)
40-0237                          U1                                 1   1     13  13   1 13         13 0 UV2                 (1023-22-13)
40-0237                          U1                                 1   1     14  14   1 14         14 0                     (0-0-0)
40-0237                          U1                                 1   1     15  15   1 15         15 0                     (0-0-0)
40-0237                          U1                                 1   1     16  16   1 16         16 0                     (0-0-0)
40-0237                          U1                                 1   1     17  17   1 17         17 0 LED2_G              (1023-15-13)
40-0237                          U1                                 1   1     18  18   1 29         29 0                     (0-0-0)
40-0237                          U1                                 1   1     19  19   1 30         30 0                     (0-0-0)
40-0237                          U1                                 1   1     20  20   1 31         31 0                     (0-0-0)
40-0237                          U1                                 1   1     21  21   1 32         32 0 RF_CE               (1023-34-13)
40-0237                          U1                                 1   1     22  22   1 33         33 0 RF_IRQ              (1023-35-13)
40-0237                          U1                                 1   1     23  23   1 18         18 0 LED2_R              (1023-16-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0237                          U1                                 1   1     24  24   1 19         19 0 LED2_B              (1023-14-13)
40-0237                          U1                                 1   1     25  25   1 41         41 0                     (0-0-0)
40-0237                          U1                                 1   1     26  26   1 42         42 0 DEBUG_TX            (1073-1-13)
40-0237                          U1                                 1   1     27  27   1 43         43 0 DEBUG_RX            (1073-2-13)
40-0237                          U1                                 1   1     28  28   1 45         45 0                     (0-0-0)
40-0237                          U1                                 1   1     29  29   1 46         46 0                     (0-0-0)
40-0237                          U1                                 1   1     30  30   1 21         21 0                     (0-0-0)
40-0237                          U1                                 1   1     31  31   1 22         22 0                     (0-0-0)
40-0237                          U1                                 1   1     32  32   1 25         25 0 RF_CSN              (1023-26-13)
40-0237                          U1                                 1   1     33  33   1 26         26 0 RF_SCK              (1023-23-13)
40-0237                          U1                                 1   1     34  34   1 27         27 0 RF_MISO             (1023-25-13)
40-0237                          U1                                 1   1     35  35   1 28         28 0 RF_MOSI             (1023-24-13)
40-0237                          U1                                 1   1     36  36   1 2           2 0 PROXSENSOR          (1023-27-13)
40-0237                          U1                                 1   1     37  37   1 3           3 0                     (0-0-0)
40-0237                          U1                                 1   1     38  38   1 4           4 0                     (0-0-0)
40-0237                          U1                                 1   1     39  39   1 7           7 0 XSIG010437          (1023-36-13)
40-0237                          U1                                 1   1     40  40   1 9           9 0 VCC                 (43-2-13)
40-0237                          U1                                 1   1     41  41   1 1           1 0 VCC                 (43-2-13)
40-0237                          U1                                 1   2      1   1   2 48         48 0 VCC                 (43-2-13)
40-0237                          U1                                 1   2      1   1   3 36         36 0 VCC                 (43-2-13)
40-0237                          U1                                 1   2      1   1   4 24         24 0 VCC                 (43-2-13)
40-0237                          U1                                 1   3      1   1   5 47         47 0 GND                 (43-1-13)
40-0237                          U1                                 1   3      1   1   6 35         35 0 GND                 (43-1-13)
40-0237                          U1                                 1   3      1   1   7 23         23 0 GND                 (43-1-13)
40-0237                          U1                                 1   3      1   1   8 8           8 0 GND                 (43-1-13)
70-0014                          J4                                34   1      1   1   1 1           1 0                     (0-0-0)
70-0014                          J4                                34   1      2   2   1 2           2 0 DEBUG_RX            (1073-2-13)
70-0014                          J4                                34   1      3   3   1 3           3 0 DEBUG_TX            (1073-1-13)
